Existence of initiatives and projects in the past five years to improve the tourism sector - exists,Existence of cafes - does not exist,Tourism Index,Existence of touristic attractions that can be expolited and developed - does not exist,Existence of touristic attractions prone to be exploited and developed - exists,Total_number_of_hotels,Town,Total number of cafes,Observation URI,Existence of hotels - does not exist,Existence of restaurants - does not exist,Existence of cafes - exists,references,Existence of hotels - exists,refArea,Total number of guest houses,Total number of restaurants,publisher,dataset,Existence of guest houses - exists,Existence of guest houses - does not exist,Existence of restaurants - exists
0,0,3,1,0,0, Bireh,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-+Bireh,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,0,0,0,0,0,A'ain El-Mir (El Establ),0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-A%27ain+El-Mir+%28El+Establ%29,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/South_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
0,1,0,1,0,0,AAridet Cheikh Zennad,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-AAridet+Cheikh+Zennad,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Akkar_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,0,1,0,0,Aaba,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aaba,1,1,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/North_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,0,1,1,Aabadiyeh,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aabadiyeh,0,1,0,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Baabda_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,1,0,0,Aabaydat,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aabaydat,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Byblos_District,0,1,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
0,0,0,0,0,0,Aabba,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aabba,0,0,0,https://impact.cib.gov.lb/home#open_data_section,0,https://dbpedia.org/page/Nabatieh_Governorate,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,0,0
1,0,10,1,0,4,Aabbesiyyi,25,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aabbesiyyi,0,0,1,https://impact.cib.gov.lb/home#open_data_section,1,http://dbpedia.org/resource/Tyre_District,2,30,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,1,0,1
0,0,3,1,0,0,Aabdine,2,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aabdine,1,1,1,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Bsharri_District,0,0,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,0
0,1,3,1,0,0,Aabra Saida,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Tourism-Aabra+Saida,1,0,0,https://impact.cib.gov.lb/home#open_data_section,0,http://dbpedia.org/resource/Sidon_District,0,2,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Tourism-Lebanon-2023,0,1,1
